0400000US18,18,IN,Indiana,180.97979637877975,32,6483802,389707,5286453,582140,14165,101444,1853,8675,99365,4875504,235369,4097332,407005,10948,76502,1404,3265,43679,1608298,154338,1189121,175135,3217,24942,449,5410,55686,186923,95336,48694,4115,41158,1369,91587,75434,228,15925,0.75,2795541,2502154,293387,10.49,92789193658,35826.10948699376,1537004191,189.40215359420645,41,6785528,554191,5121004,637500,12938,166651,2761,25139,265344,5192579,350929,4065650,462446,10490,124975,1961,15652,160476,1592949,203262,1055354,175054,2448,41676,800,9487,104868,178374,91389,41962,1967,46683,777,86985,72846,91,14048,0.62,2923175,2667542,255633,8.75,92788998225,35826.0340298874,1541613641,8.4223572154267,9,301726,164484,-165449,55360,-1227,65207,908,16464,165979,317075,115560,-31682,55441,-458,48473,557,12387,116797,-15349,48924,-133767,-81,-769,16734,351,4077,49182,-8549,-3947,-6732,-2148,5525,-592,-4602,-2588,-137,-1877,-0.13,127634,165388,-37754,-1.7400000000000002,-195433,-0.07545710635895375,4609450,4.65,4.65,42.21,-3.13,9.51,-8.66,64.28,49,189.79,167.04,6.5,49.1,-0.77,13.62,-4.18,63.36,39.67,379.39,267.4,-0.95,31.7,-11.25,-0.05,-23.9,67.09,78.17,75.36,88.32,-4.57,-4.14,-13.83,-52.2,13.42,-43.24,-5.02,-3.43,-60.09,-11.79,4.57,6.61,-12.87,-0,0
0400000US19,19,IA,Iowa,54.53833719492659,21,3046355,151544,2701123,86906,8581,52597,1797,2132,41675,2318362,88337,2107975,57064,6038,39569,1181,1057,17141,727993,63207,593148,29842,2543,13028,616,1075,24534,98112,43282,13309,2197,26871,905,54830,44574,3,10253,0.44,1336417,1221576,114841,8.59,144669296857,55857.13017087338,1076595005,57.120387105590275,31,3190369,215986,2638201,129321,9079,75017,5605,8487,108673,2450103,134104,2093769,86796,6662,56772,3447,5779,62774,740266,81882,544432,42525,2417,18245,2158,2708,45899,98558,43158,13064,1325,28369,400,55400,46412,31,8957,0.41,1412789,1288560,124229,8.79,144659688848,55853.42049770115,1085996889,2.5820499106636845,10,144014,64442,-62922,42415,498,22420,3808,6355,66998,131741,45767,-14206,29732,624,17203,2266,4722,45633,12273,18675,-48716,12683,-126,5217,1542,1633,21365,446,-124,-245,-872,1498,-505,570,1838,28,-1296,-0.030000000000000027,76372,66984,9388,0.1999999999999993,-9608009,-3.7096731722340337,9401884,4.73,4.73,42.52,-2.33,48.81,5.8,42.63,211.91,298.08,160.76,5.68,51.81,-0.67,52.1,10.33,43.48,191.87,446.74,266.22,1.69,29.55,-8.21,42.5,-4.95,40.04,250.32,151.91,87.08,0.45,-0.29,-1.84,-39.69,5.57,-55.8,1.04,4.12,933.33,-12.64,5.71,5.48,8.17,-0.01,0
0400000US20,20,KS,Kansas,34.896804950682146,37,2853118,300042,2230539,162700,23073,66967,1978,2928,64891,2126179,177942,1732179,116150,16996,49907,1389,1607,30009,726939,122100,498360,46550,6077,17060,589,1321,34882,79074,41393,18009,1656,20672,1056,37681,27754,3943,5984,0.63,1233215,1112096,121119,9.82,211754095913,81758.71699521388,1345868930,35.933592410179486,45,2937880,382603,2122575,163352,21921,85225,3115,10064,149025,2229316,241586,1683982,122508,16995,65780,2173,6978,89314,708564,141017,438593,40844,4926,19445,942,3086,59711,86940,40973,18204,707,20370,1692,45967,30358,5754,9855,0.62,1275689,1151360,124329,9.75,211753777874,81758.59419966425,1345707497,1.03678745949734,8,84762,82561,-107964,652,-1152,18258,1137,7136,84134,103137,63644,-48197,6358,-1,15873,784,5371,59305,-18375,18917,-59767,-5706,-1151,2385,353,1765,24829,7866,-420,195,-949,-302,636,8286,2604,1811,3871,-0.010000000000000009,42474,39264,3210,-0.07000000000000028,-318039,-0.12279554962879047,-161433,2.97,2.97,27.52,-4.84,0.4,-4.99,27.26,57.48,243.72,129.65,4.85,35.77,-2.78,5.47,-0.01,31.81,56.44,334.23,197.62,-2.53,15.49,-11.99,-12.26,-18.94,13.98,59.93,133.61,71.18,9.95,-1.01,1.08,-57.31,-1.46,60.23,21.99,9.38,45.93,64.69,3.44,3.53,2.65,-0,0
0400000US21,21,KY,Kentucky,109.89540224213918,25,4339367,132836,3745655,333075,8642,48338,2074,4634,64113,3315996,82887,2917519,241115,6972,35428,1431,1761,28883,1023371,49949,828136,91960,1670,12910,643,2873,35230,125870,70779,41122,2144,26044,1469,55091,36340,5856,12895,0.95,1927164,1719965,207199,10.75,102269141641,39486.33802202944,2386569692,114.09603195478071,33,4505836,207854,3664764,357764,8080,73843,3462,14706,175363,3483900,133075,2905545,265961,6657,54971,2391,8970,106330,1021936,74779,759219,91803,1423,18872,1071,5736,69033,124909,66512,38346,1090,25822,1254,58397,40025,5020,13352,0.85,1994323,1797937,196386,9.85,102282796080,39491.61003062563,2368025703,4.200629712641529,8,166469,75018,-80891,24689,-562,25505,1388,10072,111250,167904,50188,-11974,24846,-315,19543,960,7209,77447,-1435,24830,-68917,-157,-247,5962,428,2863,33803,-961,-4267,-2776,-1054,-222,-215,3306,3685,-836,457,-0.09999999999999998,67159,77972,-10813,-0.9000000000000004,13654439,5.272008596184605,-18543989,3.82,3.84,56.47,-2.16,7.41,-6.5,52.76,66.92,217.35,173.52,5.06,60.55,-0.41,10.3,-4.52,55.16,67.09,409.37,268.14,-0.14,49.71,-8.32,-0.17,-14.79,46.18,66.56,99.65,95.95,-0.76,-6.03,-6.75,-49.16,-0.85,-14.64,6,10.14,-14.28,3.54,3.48,4.53,-5.22,0.01,0
0400000US22,22,LA,Louisiana,104.9296826892255,53,4533372,192560,2734884,1442420,28092,69327,1544,6779,57766,3415357,138091,2147661,1019582,19952,53638,1152,4526,30755,1118015,54469,587223,422838,8140,15689,392,2253,27011,127427,88104,60804,1453,24524,1323,39323,24891,2861,11571,1.34,1964981,1728360,236621,12.04,111897594452,43203.90459415256,23761143266,107.79292479874839,59,4657757,322549,2596702,1452420,25994,85336,1706,16954,156096,3570548,223662,2082110,1066511,19531,67983,1322,11524,97905,1087209,98887,514592,385909,6463,17353,384,5430,58191,124123,77634,51241,1050,24180,1163,46489,32772,2707,11010,1.1,2073200,1831610,241590,11.65,111913975425,43210.229323456326,23737664982,2.8632421095228864,6,124385,129989,-138182,10000,-2098,16009,162,10175,98330,155191,85571,-65551,46929,-421,14345,170,6998,67150,-30806,44418,-72631,-36929,-1677,1664,-8,3177,31180,-3304,-10470,-9563,-403,-344,-160,7166,7881,-154,-561,-0.24,108219,103250,4969,-0.3899999999999988,16380973,6.324729303763888,-23478284,2.73,2.74,67.51,-5.05,0.69,-7.47,23.09,10.49,150.1,170.22,4.54,61.97,-3.05,4.6,-2.11,26.74,14.76,154.62,218.34,-2.76,81.55,-12.37,-8.73,-20.6,10.61,-2.04,141.01,115.43,-2.59,-11.88,-15.73,-27.74,-1.4,-12.09,18.22,31.66,-5.38,-4.85,5.51,5.97,2.1,0.01,0
0400000US23,23,ME,Maine,43.06858322919781,11,1328361,16935,1254297,15154,8210,13442,313,1014,18996,1053828,10525,1007023,9034,6079,9784,234,603,10546,274533,6410,247274,6120,2131,3658,79,411,8450,35545,12409,3679,578,7878,274,23136,17251,131,5754,0.28,721830,557219,164611,22.8,79882800680,30842.923086902334,11750312805,44.167766309795596,18,1362359,26609,1228264,25115,7293,16668,407,4430,53573,1110085,17656,1017504,16551,5603,13336,332,3365,35738,252274,8953,210760,8564,1690,3332,75,1065,17835,36454,15210,3360,355,10911,584,21244,15595,330,5319,0.25,739072,582437,156635,21.19,79888428972,30845.096182685018,11744937116,1.0991830805977827,7,33998,9674,-26033,9961,-917,3226,94,3416,34577,56257,7131,10481,7517,-476,3552,98,2762,25192,-22259,2543,-36514,2444,-441,-326,-4,654,9385,909,2801,-319,-223,3033,310,-1892,-1656,199,-435,-0.030000000000000027,17242,25218,-7976,-1.6099999999999994,5628292,2.1730957826839585,-5375689,2.55,2.56,57.12,-2.08,65.73,-11.17,24,30.03,336.88,182.02,5.34,67.75,1.04,83.21,-7.83,36.3,41.88,458.04,238.88,-8.11,39.67,-14.77,39.93,-20.69,-8.91,-5.06,159.12,111.07,2.56,22.57,-8.67,-38.58,38.5,113.14,-8.18,-9.6,151.91,-7.56,2.39,4.53,-4.85,0.01,0
0400000US24,24,MD,Maryland,594.7675394407305,61,5773552,470632,3157958,1674229,13815,316694,2412,11972,125840,4420588,322308,2529506,1239796,10722,245537,1937,6928,63854,1352964,148324,628452,434433,3093,71157,475,5044,61986,138375,66838,35832,2018,28001,987,71537,48141,7534,15862,0.62,2378814,2156411,222403,9.35,25141638381,9707.241261735575,6989579585,636.0926501442982,67,6177224,729745,2913782,1795027,12055,417962,2575,35314,270764,4815202,492262,2401360,1388741,9788,332666,2035,23196,165154,1362022,237483,512422,406286,2267,85296,540,12118,105610,125505,58693,27040,1008,29252,1393,66812,46179,2464,18169,0.44,2530844,2321208,209636,8.28,25151895765,9711.201660007691,6979171386,41.3251107035677,6,403672,259113,-244176,120798,-1760,101268,163,23342,144924,394614,169954,-128146,148945,-934,87129,98,16268,101300,9058,89159,-116030,-28147,-826,14139,65,7074,43624,-12870,-8145,-8792,-1010,1251,406,-4725,-1962,-5070,2307,-0.18,152030,164797,-12767,-1.0700000000000003,10257384,3.9603982721164357,-10408199,6.95,6.99,55.06,-7.73,7.22,-12.74,31.98,6.76,194.97,115.17,8.93,52.73,-5.07,12.01,-8.71,35.49,5.06,234.82,158.64,0.67,60.11,-18.46,-6.48,-26.71,19.87,13.68,140.25,70.38,-9.3,-12.19,-24.54,-50.05,4.47,41.13,-6.6,-4.08,-67.29,14.54,6.39,7.64,-5.74,0.04,0
0400000US25,25,MA,Massachusetts,839.4333241762547,40,6547629,627654,4984800,391693,10778,347495,1467,61547,122195,5128706,416775,4029458,288523,8219,269089,1189,45871,69582,1418923,210879,955342,103170,2559,78406,278,15676,52613,238882,74667,24683,2927,43833,3224,164215,135773,498,27944,0.38,2808254,2547075,261179,9.3,20202057805,7800.058457799804,7133683836,901.1603149014718,52,7029917,887685,4748897,457055,9387,504900,1607,92108,328278,5663723,621508,3988985,351465,7430,407742,1391,68601,216601,1366194,266177,759912,105590,1957,97158,216,23507,111677,245518,65338,17969,3261,42089,2019,180180,144820,357,35003,0.26,2998537,2749225,249312,8.31,20204396898,7800.961586694611,7130653806,61.72699072521709,12,482288,260031,-235903,65362,-1391,157405,140,30561,206083,535017,204733,-40473,62942,-789,138653,202,22730,147019,-52729,55298,-195430,2420,-602,18752,-62,7831,59064,6636,-9329,-6714,334,-1744,-1205,15965,9047,-141,7059,-0.12,190283,202150,-11867,-0.9900000000000002,2339093,0.9031288948062866,-3030030,7.35,7.37,41.43,-4.73,16.69,-12.91,45.3,9.54,49.65,168.65,10.43,49.12,-1,21.82,-9.6,51.53,16.99,49.55,211.29,-3.72,26.22,-20.46,2.35,-23.52,23.92,-22.3,49.96,112.26,2.78,-12.49,-27.2,11.41,-3.98,-37.38,9.72,6.66,-28.31,25.26,6.78,7.94,-4.54,0.01,0
0400000US26,26,MI,Michigan,174.81132138499953,39,9883640,436358,7569939,1383756,54665,236490,2170,9866,190396,7539572,264511,5960698,998309,40071,175251,1693,5322,93717,2344068,171847,1609241,385447,14594,61239,477,4544,96679,229068,109867,62083,3561,42473,1750,119201,78033,214,40954,0.63,4532233,3872508,659725,14.56,146435075220,56538.90103737932,104051765840,178.01887125397718,45,10077331,564422,7295651,1358458,47406,332288,2603,37183,439320,7914602,367645,5928796,1021516,36450,258756,1985,25724,273730,2162729,196777,1366855,336942,10956,73532,618,11459,165590,221716,102773,54748,2179,44179,1667,118943,83931,90,34922,0.54,4570173,4041760,528413,11.56,146614604273,56608.21759521666,103872203398,3.207549868977651,6,193691,128064,-274288,-25298,-7259,95798,433,27317,248924,375030,103134,-31902,23207,-3621,83505,292,20402,180013,-181339,24930,-242386,-48505,-3638,12293,141,6915,68911,-7352,-7094,-7335,-1382,1706,-83,-258,5898,-124,-6032,-0.08999999999999997,37940,169252,-131312,-3,179529053,69.31655783733731,-179562442,1.83,1.96,29.35,-3.62,-1.83,-13.28,40.51,19.95,276.88,130.74,4.97,38.99,-0.54,2.32,-9.04,47.65,17.25,383.35,192.08,-7.74,14.51,-15.06,-12.58,-24.93,20.07,29.56,152.18,71.28,-3.21,-6.46,-11.81,-38.81,4.02,-4.74,-0.22,7.56,-57.94,-14.73,0.84,4.37,-19.9,0.12,0
0400000US27,27,MN,Minnesota,66.60984477288979,30,5303925,250258,4405142,269141,55421,212996,1860,5947,103160,4019862,148836,3462644,174688,38010,146014,1351,3262,45057,1284063,101422,942498,94453,17411,66982,509,2685,58103,135395,56308,20397,2541,32989,381,79087,50444,0,28643,0.38,2347201,2087227,259974,11.08,206232309199,79626.74313510333,18930454637,71.66559840239952,40,5706494,345640,4353880,392850,57046,297460,2621,20963,236034,4389033,218767,3509053,257353,39560,214681,1861,14680,133078,1317461,126873,844827,135497,17486,82779,760,6283,102956,138293,56918,16672,1351,37952,943,81375,45260,0,36115,0.29,2485558,2253990,231568,9.32,206232157570,79626.68459081664,18949864226,5.055753629509738,10,402569,95382,-51262,123709,1625,84464,761,15016,132874,369171,69931,46409,82665,1550,68667,510,11418,88021,33398,25451,-97671,41044,75,15797,251,3598,44853,2898,610,-3725,-1190,4963,562,2288,-5184,0,7472,-0.09000000000000002,138357,166763,-28406,-1.7599999999999998,-151629,-0.058544286686810665,19409589,7.59,7.59,38.11,-1.16,45.96,2.93,39.66,40.91,252.5,128.8,9.18,46.99,1.34,47.32,4.08,47.03,37.75,350.03,195.35,2.6,25.09,-10.36,43.45,0.43,23.58,49.31,134,77.2,2.14,1.08,-18.26,-46.83,15.04,147.51,2.89,-10.28,NA,26.09,5.89,7.99,-10.93,-0,0
0400000US28,28,MS,Mississippi,63.23721179252396,53,2967297,81481,1722287,1093512,13845,25477,948,1828,27919,2211742,54977,1348246,764250,9440,19439,732,933,13725,755555,26504,374041,329262,4405,6038,216,895,14194,91964,55135,34273,2247,16496,2119,36829,26472,3938,6419,1.16,1274719,1115768,158951,12.47,121530715928,46923.27374798647,3907007795,63.10803977746318,56,2961279,105220,1639077,1079001,14019,32305,1037,7174,83446,2277599,68637,1315451,799388,9701,25718,767,4638,53299,683680,36583,323626,279613,4318,6587,270,2536,30147,93671,52921,30745,758,20323,1095,40750,32502,2762,5486,1.04,1319945,1158193,161752,12.25,121532487805,46923.957873549996,3915791676,-0.12917201506077447,3,-6018,23739,-83210,-14511,174,6828,89,5346,55527,65857,13660,-32795,35138,261,6279,35,3705,39574,-71875,10079,-50415,-49649,-87,549,54,1641,15953,1707,-2214,-3528,-1489,3827,-1024,3921,6030,-1176,-933,-0.11999999999999988,45226,42425,2801,-0.22000000000000064,1771877,0.6841255635226844,8783881,-0.2,-0.2,29.13,-4.83,-1.33,1.26,26.8,9.39,292.45,198.89,2.98,24.85,-2.43,4.6,2.76,32.3,4.78,397.11,288.34,-9.51,38.03,-13.48,-15.08,-1.98,9.09,25,183.35,112.39,1.86,-4.02,-10.29,-66.27,23.2,-48.32,10.65,22.78,-29.86,-14.53,3.55,3.8,1.76,0,0
0400000US29,29,MO,Missouri,87.12240945527095,33,5988927,212470,4850748,687149,24062,97221,5763,5372,106142,4563491,131812,3789292,489611,18397,74340,3918,2732,53389,1425436,80658,1061456,197538,5665,22881,1845,2640,52753,174142,93274,41956,4497,44866,1955,80868,52869,10217,17782,0.7,2712729,2375611,337118,12.43,178039716301,68741.52169855613,2500563712,89.53058850723116,41,6154913,303068,4663907,692774,23496,132158,9293,22377,307840,4775612,197173,3723642,514169,18642,104558,6340,14896,196192,1379301,105895,940265,178605,4854,27600,2953,7481,111648,169014,86158,37079,2745,44059,2275,82856,55037,10097,17722,0.6,2786621,2479146,307475,11.03,178052563675,68746.48209760046,2487215790,2.4081790519602038,8,165986,90598,-186841,5625,-566,34937,3530,17005,201698,212121,65361,-65650,24558,245,30218,2422,12164,142803,-46135,25237,-121191,-18933,-811,4719,1108,4841,58895,-5128,-7116,-4877,-1752,-807,320,1988,2168,-120,-60,-0.09999999999999998,73892,103535,-29643,-1.4000000000000004,12847374,4.960399044328369,-13347922,2.76,2.77,42.64,-3.85,0.82,-2.35,35.94,61.25,316.55,190.03,4.65,49.59,-1.73,5.02,1.33,40.65,61.82,445.24,267.48,-3.24,31.29,-11.42,-9.58,-14.32,20.62,60.05,183.37,111.64,-2.94,-7.63,-11.62,-38.96,-1.8,16.37,2.46,4.1,-1.17,-0.34,2.72,4.36,-8.79,0.01,0
0400000US30,30,MT,Montana,6.797963194743435,22,989415,28565,868628,3743,59902,6138,609,540,21290,765852,17420,689188,2617,38949,4838,464,367,12009,223563,11145,179440,1126,20953,1300,145,173,9281,28849,11929,5338,1020,5200,371,16920,8332,678,7910,0.54,482825,409607,73218,15.16,376961878670,145545.80124309455,3869200368,7.4491401754546915,30,1084225,45199,901318,5077,64592,8077,839,4374,54749,850123,29908,727553,3781,42717,6666,642,3326,35530,234102,15291,173765,1296,21875,1411,197,1048,19219,29304,13051,5774,807,6302,168,16253,8079,619,7555,0.53,514803,447812,66991,13.01,376973673895,145550.35540512158,3866689601,0.6511769807112566,8,94810,16634,32690,1334,4690,1939,230,3834,33459,84271,12488,38365,1164,3768,1828,178,2959,23521,10539,4146,-5675,170,922,111,52,875,9938,455,1122,436,-213,1102,-203,-667,-253,-59,-355,-0.010000000000000009,31978,38205,-6227,-2.1500000000000004,11795225,4.554162027023267,-2510767,9.58,9.58,58.23,3.76,35.64,7.83,31.59,37.77,710,157.16,11,71.69,5.57,44.48,9.67,37.78,38.36,806.27,195.86,4.71,37.2,-3.16,15.1,4.4,8.54,35.86,505.78,107.08,1.58,9.41,8.17,-20.88,21.19,-54.72,-3.94,-3.04,-8.7,-4.49,6.62,9.33,-8.5,0,0
0400000US31,31,NE,Nebraska,23.772999721247793,31,1826341,167405,1499753,80959,14797,31919,966,2116,28426,1367120,98221,1166956,54981,9637,23417,686,1046,12176,459221,69184,332797,25978,5160,8502,280,1070,16250,51165,23633,8084,1673,13519,357,27532,22073,443,5016,0.44,796793,721130,75663,9.5,198973681461,76824.17117801317,1356219849,25.53447370052074,41,1961504,234715,1484687,94405,15051,52359,1318,6335,72634,1476127,145297,1169255,66088,10112,38794,942,4314,41325,485377,89418,315432,28317,4939,13565,376,2021,31309,49502,22557,8998,790,12679,90,26945,20831,219,5895,0.46,844278,773312,70966,8.41,198957373531,76817.87465077058,1371117957,1.761473979272946,10,135163,67310,-15066,13446,254,20440,352,4219,44208,109007,47076,2299,11107,475,15377,256,3268,29149,26156,20234,-17365,2339,-221,5063,96,951,15059,-1663,-1076,914,-883,-840,-267,-587,-1242,-224,879,0.020000000000000018,47485,52182,-4697,-1.0899999999999999,-16307930,-6.296527242593584,14898108,7.41,7.4,40.21,-1,16.61,1.72,64.04,36.44,199.39,155.52,7.97,47.93,0.2,20.2,4.93,65.67,37.32,312.43,239.4,5.7,29.25,-5.22,9,-4.28,59.55,34.29,88.88,92.67,-3.25,-4.55,11.31,-52.78,-6.21,-74.79,-2.13,-5.63,-50.56,17.52,5.96,7.24,-6.21,-0.01,0
0400000US32,32,NV,Nevada,24.599398660164315,62,2700551,716501,1462081,208058,23536,191047,15456,4740,79132,2035543,454534,1199298,152510,17857,154572,11283,3059,42430,665008,261967,262783,55548,5679,36475,4173,1681,36702,36154,25835,19891,819,5005,120,10319,3336,1022,5961,0.74,1173814,1006250,167564,14.28,284331937541,109781.17950392049,2047761678,28.259613116040413,69,3104614,890257,1425952,291960,23392,265991,22970,17171,166921,2413326,609396,1205651,219333,18317,224400,17118,12441,106670,691288,280861,220301,72627,5075,41591,5852,4730,60251,36954,26066,19575,723,5357,411,10888,4215,724,5949,0.63,1281018,1177649,103369,8.07,284537264244,109860.45659053247,1839662252,3.6602144558760976,7,404063,173756,-36129,83902,-144,74944,7514,12431,87789,377783,154862,6353,66823,460,69828,5835,9382,64240,26280,18894,-42482,17079,-604,5116,1679,3049,23549,800,231,-316,-96,352,291,569,879,-298,-12,-0.10999999999999999,107204,171399,-64195,-6.209999999999999,205326703,79.27708661198267,-208099426,14.88,14.96,24.25,-2.47,40.33,-0.61,39.23,48.62,262.26,110.94,18.56,34.07,0.53,43.82,2.58,45.18,51.71,306.7,151.4,3.95,7.21,-16.17,30.75,-10.64,14.03,40.23,181.38,64.16,2.21,0.89,-1.59,-11.72,7.03,242.5,5.51,26.35,-29.16,-0.2,9.13,17.03,-38.31,0.07,0
0400000US33,33,NH,New Hampshire,147.04806038642545,15,1316470,36704,1215050,13625,2693,28241,329,1803,18025,1029236,22934,962931,9436,2124,20822,264,1237,9488,287234,13770,252119,4189,569,7419,65,566,8537,40104,13113,4851,472,7767,23,26991,22820,454,3717,0.37,614754,518973,95781,15.58,23187259277,8952.65123892466,1026959156,153.849333514992,24,1377529,59454,1200649,18655,2299,35604,388,5916,54564,1120680,39800,995751,13858,1930,27989,303,4443,36606,256849,19654,204898,4797,369,7615,85,1473,17958,42735,14282,4395,415,9363,109,28453,22883,0,5570,0.32,638795,556357,82438,12.91,23190113978,8953.753445189708,1025973001,6.8012731285665495,9,61059,22750,-14401,5030,-394,7363,59,4113,36539,91444,16866,32820,4422,-194,7167,39,3206,27118,-30385,5884,-47221,608,-200,196,20,907,9421,2631,1169,-456,-57,1596,86,1462,63,-454,1853,-0.04999999999999999,24041,37384,-13343,-2.67,2854701,1.102206265048153,-986155,4.63,4.64,61.98,-1.19,36.92,-14.63,26.07,17.93,228.12,202.71,8.88,73.54,3.41,46.86,-9.13,34.42,14.77,259.18,285.81,-10.58,42.73,-18.73,14.51,-35.15,2.64,30.77,160.25,110.35,6.56,8.91,-9.4,-12.08,20.55,373.91,5.42,0.28,-100,49.85,3.91,7.2,-13.93,0.01,0
0400000US34,34,NJ,New Jersey,1195.489655547651,59,8791894,1555144,5214878,1125401,12227,719827,1963,27610,134844,6726680,1094143,4149566,832756,8784,546294,1563,18818,74756,2065214,461001,1065312,292645,3443,173533,400,8792,60088,186876,100621,44468,7555,45512,3086,86255,55483,1452,29320,0.51,3553562,3214360,339202,9.55,19047341691,7354.220054687512,3544030209,1262.990935557194,66,9288994,2002575,4816381,1154142,11206,942921,1944,70354,289471,7281310,1435999,3966396,896947,8209,740609,1586,48057,183507,2007684,566576,849985,257195,2997,202312,358,22297,105964,180375,84517,36851,1337,43373,2956,95858,65650,1077,29131,0.4,3761229,3426102,335127,8.91,19048737655,7354.759039424121,3533261945,67.50128000954305,7,497100,447431,-398497,28741,-1021,223094,-19,42744,154627,554630,341856,-183170,64191,-575,194315,23,29239,108751,-57530,105575,-215327,-35450,-446,28779,-42,13505,45876,-6501,-16104,-7617,-6218,-2139,-130,9603,10167,-375,-189,-0.10999999999999999,207667,211742,-4075,-0.6400000000000006,1395964,0.5389847366086542,-10768264,5.65,5.65,28.77,-7.64,2.55,-8.35,30.99,-0.97,154.81,114.67,8.25,31.24,-4.41,7.71,-6.55,35.57,1.47,155.38,145.47,-2.79,22.9,-20.21,-12.11,-12.95,16.58,-10.5,153.61,76.35,-3.48,-16,-17.13,-82.3,-4.7,-4.21,11.13,18.32,-25.83,-0.64,5.84,6.59,-1.2,0.01,0
0400000US35,35,NM,New Mexico,16.97617837279187,61,2059179,953403,833810,35462,175368,26305,1246,3750,29835,1540507,651326,697848,27453,121962,20956,987,2633,17342,518672,302077,135962,8009,53406,5349,259,1117,12493,42629,25266,17907,1078,5567,714,17363,8478,1789,7096,0.87,901388,791395,109993,12.2,314160748240,121298.1481921924,756659673,17.455065845672603,63,2117522,1010811,772952,38330,188610,35261,1451,10340,59767,1638989,726764,664062,30778,137360,28989,1199,7925,41912,478533,284047,108890,7552,51250,6272,252,2415,17855,42850,22109,14807,752,6176,374,20741,9436,2831,8474,0.7,940859,829514,111345,11.83,314198560935,121312.74775597415,726482115,0.4788874728807322,2,58343,57408,-60858,2868,13242,8956,205,6590,29932,98482,75438,-33786,3325,15398,8033,212,5292,24570,-40139,-18030,-27072,-457,-2156,923,-7,1298,5362,221,-3157,-3100,-326,609,-340,3378,958,1042,1378,-0.17000000000000004,39471,38119,1352,-0.3699999999999992,37812695,14.599563781754114,-30177558,2.82,2.83,6.02,-7.3,8.09,7.55,34.05,16.45,175.73,100.33,6.39,11.58,-4.84,12.11,12.63,38.33,21.48,200.99,141.68,-7.74,-5.97,-19.91,-5.71,-4.04,17.26,-2.7,116.2,42.92,0.52,-12.5,-17.31,-30.24,10.94,-47.62,19.46,11.3,58.24,19.42,4.38,4.82,1.23,0.01,0
